BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,410.811348,2
Yes,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,433.181462,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,418.027694,2
No,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,467.300384,2
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,362.964464,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,At least once a week,Agree a little,Agree a lot,Never,Disagree a lot,Agree a lot,466.182816,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Every or almost every lesson,Disagree a little,Disagree a little,385.702086,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,472.026374,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,Never,Disagree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,429.5143,2
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,439.205646,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a lot,380.027432,1
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,426.152692,2
No,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Agree a little,Agree a little,Never,Agree a little,Agree a lot,353.683516,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,455.64411400000006,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,474.967396,2
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,456.162762,2
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,420.080422,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,361.792394,1
No,None or very few (0–10 books),Agree a lot,Disagree a little,A few times a year,Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,459.418692,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,425.194584,2
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Disagree a lot,Agree a lot,473.269058,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,436.00149,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a little,375.84198,1
No,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a little,A few times a year,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,479.812664,3
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a little,Some lessons,Disagree a little,Agree a lot,390.909422,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Disagree a lot,Agree a lot,About half the lessons,Disagree a little,Disagree a lot,383.204754,1
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,522.531064,3
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,362.069382,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,526.87971,3
Yes,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,503.435872,3
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a little,Never,Disagree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,354.34917399999995,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,469.287308,2
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,458.909632,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,396.561514,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a little,Never,Agree a little,Agree a lot,305.88684,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,416.949882,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a little,336.81680800000004,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,414.631342,2
